log_mass_to_light_ratio,log_Omega,log_prob
-0.18367347,1.2965757,-8296.456
-0.15918367,1.2965757,-8029.6987
-0.13469388,1.2965757,-8051.35
-0.11020408,1.2965757,-8322.6455
-0.08571429,1.2965757,-8868.915
-0.06122449,1.2965757,-9833.759
-0.036734693,1.2965757,-11197.977
-0.012244898,1.2965757,-13217.908
0.012244898,1.2965757,-16084.775
0.036734693,1.2965757,-19772.4
0.06122449,1.2965757,-24340.398
0.08571429,1.2965757,-29950.99
0.11020408,1.2965757,-36891.465
0.13469388,1.2965757,-45408.016
0.15918367,1.2965757,-55286.742
0.18367347,1.2965757,-66853.086
0.20816326,1.2965757,-80084.43
0.23265307,1.2965757,-95034.36
0.25714287,1.2965757,-112161.37
0.28163266,1.2965757,-130710.305
0.30612245,1.2965757,-150987.34
0.33061224,1.2965757,-173555.05
0.35510203,1.2965757,-198746.7
0.37959182,1.2965757,-225204.5
0.40408164,1.2965757,-254745.47
0.42857143,1.2965757,-285827.38
0.45306122,1.2965757,-319345.25
0.477551,1.2965757,-354609.66
0.5020408,1.2965757,-393581.94
0.5265306,1.2965757,-434870.6
0.5510204,1.2965757,-477123.34
0.5755102,1.2965757,-521200.7
0.6,1.2965757,-567850.8
-0.6,1.3141253,-23589.28
-0.5755102,1.3141253,-22593.508
-0.5510204,1.3141253,-21605.969
-0.5265306,1.3141253,-20523.18
-0.5020408,1.3141253,-19440.328
-0.477551,1.3141253,-18442.041
-0.45306122,1.3141253,-17504.6
-0.42857143,1.3141253,-16527.377
-0.40408164,1.3141253,-15545.057
-0.37959182,1.3141253,-14530.974
-0.35510203,1.3141253,-13444.305
-0.33061224,1.3141253,-12422.285
-0.30612245,1.3141253,-11453.346
-0.28163266,1.3141253,-10560.307
-0.25714287,1.3141253,-9770.897
-0.23265307,1.3141253,-9069.477
-0.20816326,1.3141253,-8464.777
-0.18367347,1.3141253,-7998.845
-0.15918367,1.3141253,-7748.1333
-0.13469388,1.3141253,-7706.1313
-0.11020408,1.3141253,-7956.848
-0.08571429,1.3141253,-8499.632
-0.06122449,1.3141253,-9438.421
-0.036734693,1.3141253,-10799.774
-0.012244898,1.3141253,-12779.807
0.012244898,1.3141253,-15463.481
0.036734693,1.3141253,-18921.254
0.06122449,1.3141253,-23355.766
0.08571429,1.3141253,-28840.965
0.11020408,1.3141253,-35558.51
0.13469388,1.3141253,-43437.254
0.15918367,1.3141253,-52801.863
0.18367347,1.3141253,-63729.125
0.20816326,1.3141253,-76433.28
0.23265307,1.3141253,-91152.72
